date,customer_id,product_category,payment_method,value [USD],time_on_site [Minutes],clicks_in_site
20/11/18,25308,506,credit,468.88,30.6,13
20/11/18,47320,502,paypal,193.77,6.6,23
20/11/18,52527,513,credit,361.91,29.6,20
20/11/18,17333,510,credit,15.02,4.5,8
20/11/18,26223,513,credit,420.88,85.4,22
20/11/18,22734,502,paypal,72.2,7.3,8
20/11/18,54066,511,credit,280.96,10,17
20/11/18,55093,508,credit,173.17,51.5,21
20/11/18,49436,501,credit,489.21,14.2,50
20/11/18,41257,511,credit,708.86,71.1,18
20/11/18,55433,502,paypal,15.04,72.5,7
20/11/18,13366,503,paypal,128.71,54.5,11
20/11/18,41451,508,credit,584.35,83.7,53
20/11/18,42588,514,paypal,231.14,16.6,20
20/11/18,26754,501,paypal,236.96,11.6,24
20/11/18,34365,510,credit,281.86,48.6,15
20/11/18,49745,507,credit,337.98,33,21
20/11/18,53213,506,credit,1107.58,22.5,17
20/11/18,43735,506,paypal,52.92,18.3,9
20/11/18,14760,504,credit,129.23,13.7,15
20/11/18,44410,504,paypal,42.17,6.7,9
20/11/18,53552,515,paypal,183.27,11.5,17
20/11/18,39696,512,credit,258.63,74.2,30
20/11/18,22235,501,paypal,57.94,14,7
20/11/18,42599,507,credit,61.33,12.2,12
20/11/18,27079,504,credit,36.03,43.2,9
20/11/18,57745,515,credit,166.62,40.8,15
20/11/18,20917,507,paypal,128.82,169.2,18
20/11/18,54446,502,paypal,181.24,20.8,13
20/11/18,55746,510,paypal,761.52,88.6,59
20/11/18,58534,514,credit,251.83,26.4,16
20/11/18,53957,514,credit,1.89,7.5,6
20/11/18,53395,503,credit,76.38,3.3,8
20/11/18,52267,512,credit,262.35,36.3,16
20/11/18,29085,507,credit,105,34.5,9
20/11/18,56399,502,paypal,104.34,6.6,16
20/11/18,27009,514,credit,33.1,5.9,6
20/11/18,35336,509,credit,10.99,32.7,7
20/11/18,26503,506,paypal,50.04,23.1,11
20/11/18,50579,504,paypal,95.96,25.7,10
20/11/18,54326,514,credit,41.36,22.8,7
20/11/18,23420,504,paypal,108.92,19.6,11
20/11/18,32534,511,paypal,34.59,9.1,9
20/11/18,22902,504,credit,26.69,20,6
20/11/18,31526,515,credit,339.09,16.4,0
20/11/18,40170,511,credit,65.8,8.6,12
20/11/18,18701,515,paypal,49.22,16,0
20/11/18,10773,513,credit,108.8,56.9,0
20/11/18,41607,507,paypal,703.12,38.5,0
20/11/18,26936,501,paypal,25.88,6.5,0
20/11/18,56518,507,credit,391.79,21.1,0
20/11/18,44722,505,paypal,90.8,19.7,0
20/11/18,39332,509,credit,49.5,20.1,0
20/11/18,39095,505,credit,412.93,47.8,0
20/11/18,55428,507,paypal,158.44,10.1,0
20/11/18,16481,510,credit,159.34,27.5,0
20/11/18,23129,501,paypal,26.31,2.9,0
20/11/18,39272,504,credit,233.03,11.7,0
20/11/18,54296,506,credit,863.48,12,0
20/11/18,50254,503,paypal,24.65,24.5,0
20/11/18,42386,501,paypal,102.52,91.1,0
20/11/18,16296,515,credit,639.27,77.8,0
20/11/18,43547,501,credit,405.11,43.6,0
20/11/18,58155,502,credit,3.69,17.7,0
20/11/18,46686,506,paypal,129.82,11.5,14
20/11/18,39372,511,paypal,193.15,19.9,14
20/11/18,23926,511,credit,55.51,2.3,9
20/11/18,59723,515,credit,332.87,40.6,0
20/11/18,13656,508,credit,88.32,27.7,14
20/11/18,47245,501,paypal,137.03,13.2,9
20/11/18,26200,513,paypal,9.25,47.6,7
20/11/18,34771,505,paypal,10.94,14.4,7
20/11/18,30722,510,paypal,634.69,59.6,13
20/11/18,46226,509,credit,81.59,17,9
20/11/18,31323,514,credit,170.82,27.1,13
20/11/18,57896,510,paypal,14.22,7.8,7
20/11/18,52183,501,credit,221.33,9.5,20
20/11/18,16327,508,paypal,192.23,10.5,7
20/11/18,31345,508,credit,176.65,5.1,16
20/11/18,17243,511,credit,2.55,2.3,6
20/11/18,27820,501,credit,44.82,4.2,7
20/11/18,58874,508,credit,346.64,34.1,38
20/11/18,28090,513,credit,68.1,35,10
20/11/18,44331,503,credit,92.82,53.3,7
20/11/18,46006,504,paypal,320.24,8,0
20/11/18,22080,507,paypal,127.55,18.3,15
20/11/18,41793,511,credit,240.82,44.9,25
20/11/18,28996,501,paypal,30.47,11.7,7
20/11/18,36277,502,paypal,178.66,5.7,8
20/11/18,45487,513,paypal,162.71,23.6,17
20/11/18,13020,502,credit,13.78,14.4,7
20/11/18,52525,509,paypal,16.6,23.7,7
20/11/18,29479,509,paypal,148.83,14.1,9
20/11/18,16029,515,paypal,10.97,32.2,7
20/11/18,37402,511,paypal,126.87,33.7,16
20/11/18,53794,502,credit,72.63,20.7,9
20/11/18,32178,501,credit,396.64,78.6,16
20/11/18,58607,510,credit,0.46,35.2,6
20/11/18,20045,501,paypal,21.29,20.1,7
20/11/18,15311,501,credit,124.48,32.8,12
20/11/18,48474,511,credit,99.55,31.1,11
20/11/18,20784,502,paypal,601.53,66.4,19
20/11/18,13649,509,credit,52.46,19.4,9
20/11/18,45439,506,paypal,222.19,14.3,27
20/11/18,34182,505,paypal,82.11,7.7,13
20/11/18,30880,510,credit,284.2,21.3,30
20/11/18,52427,504,paypal,463.07,49,24
20/11/18,55136,501,paypal,486.79,23.2,50
20/11/18,47162,508,credit,22.23,18.9,6
20/11/18,56059,513,paypal,574.62,22,24
20/11/18,27239,502,credit,437.39,20,31
20/11/18,49838,515,paypal,258.81,12.3,22
20/11/18,48939,502,paypal,14.48,9,7
20/11/18,37902,515,paypal,27.83,15.5,8
20/11/18,31091,504,paypal,3.49,17.9,6
20/11/18,36695,504,credit,118.44,26.1,6
20/11/18,52162,513,paypal,804.5,24.2,64
20/11/18,22796,511,credit,186.46,20.7,13
20/11/18,20028,512,credit,53.92,11.1,10
20/11/18,38370,511,credit,32.27,13.1,7
20/11/18,47033,514,paypal,428.11,38.2,20
20/11/18,55217,512,paypal,56.74,28,10
20/11/18,24701,506,credit,42.31,8.3,8
20/11/18,17706,504,paypal,30.63,19.7,7
20/11/18,59762,502,paypal,187.83,20.6,12
20/11/18,43985,508,credit,305.9,9.5,19
20/11/18,38808,514,credit,120.62,11.5,11
20/11/18,56608,510,credit,178.36,12.6,0
20/11/18,56673,515,credit,81.85,28.6,6
20/11/18,31345,504,credit,33.57,8.4,7
20/11/18,25891,505,credit,40.88,10.6,9
20/11/18,51017,513,paypal,99.62,70.2,11
20/11/18,20674,510,paypal,113.14,14.1,9
20/11/18,18692,511,credit,41.3,7.6,7
20/11/18,14583,505,paypal,73.52,8.9,10
20/11/18,16602,507,credit,121.02,80.6,14
20/11/18,25626,513,credit,248.72,11.3,17
20/11/18,32994,510,paypal,247.07,37.9,29
20/11/18,58813,515,credit,168.78,32.3,23
20/11/18,38300,513,paypal,182.66,62.1,23
20/11/18,40978,501,paypal,404.42,22.4,29
20/11/18,58697,504,credit,20.96,11.4,8
20/11/18,46213,515,credit,40.74,11.7,9
20/11/18,11829,511,paypal,317.21,19,10
20/11/18,19828,505,paypal,525.83,32.8,26
20/11/18,16258,507,paypal,131.65,9.8,12
20/11/18,15948,512,credit,235.35,13.5,23
20/11/18,26655,514,paypal,133.28,37.5,19
20/11/18,43623,515,credit,20.65,43.8,7
20/11/18,47137,503,credit,42.33,6.1,9
20/11/18,21104,514,credit,263.07,16.9,11
20/11/18,14728,514,credit,443.98,27.1,39
20/11/18,36570,510,paypal,856.33,50.6,75
20/11/18,32969,513,paypal,272.15,55,12
20/11/18,21451,501,credit,98.51,12.7,10
20/11/18,58443,503,credit,153.38,30.3,19
20/11/18,21503,508,credit,1052.83,116.5,93
20/11/18,28323,508,paypal,200.06,24.7,7
20/11/18,34295,506,credit,901.1,25.5,96
20/11/18,16865,512,credit,105.62,21.4,16
20/11/18,21651,507,paypal,38.89,8.8,8
20/11/18,30275,514,paypal,98.43,16.5,11
20/11/18,26043,504,paypal,7.52,35.4,7
20/11/18,17728,503,credit,124.95,3.1,15
20/11/18,55098,511,paypal,15.1,18.1,7
20/11/18,35276,515,credit,5.19,9.4,6
20/11/18,22183,501,paypal,202.48,27.6,13
20/11/18,56911,509,credit,74.8,4,12
20/11/18,33519,509,paypal,211.64,41.8,12
20/11/18,43602,502,paypal,243.35,45.7,11
20/11/18,53167,510,credit,79.22,9.6,12
20/11/18,52182,513,credit,562.74,12.3,22
20/11/18,37251,506,credit,242.23,15.4,21
20/11/18,13031,513,credit,268.65,22,17
20/11/18,17782,515,credit,36.86,16.4,10
20/11/18,11596,507,paypal,142.44,24.7,14
20/11/18,12494,501,credit,47.55,29,10
20/11/18,22465,503,credit,152.9,33.6,7
20/11/18,22830,511,paypal,33.98,18.3,6
20/11/18,52175,506,paypal,721.35,65,18
20/11/18,36086,501,paypal,39.37,28.8,7
20/11/18,21094,509,paypal,175.61,17.6,8
20/11/18,54590,514,paypal,270.57,29,13
20/11/18,52232,509,credit,74.38,22,13
20/11/18,30480,508,paypal,61.99,27.4,7
20/11/18,13234,506,credit,45.85,7.8,8
20/11/18,38389,510,paypal,125.63,47.8,13
20/11/18,52378,506,credit,0.05,5.4,6
20/11/18,25341,512,credit,126.56,21.7,14
20/11/18,13215,513,credit,8.67,25.2,6
20/11/18,54781,512,credit,128,34.5,17
20/11/18,10983,514,paypal,352.15,33,35
20/11/18,55651,515,credit,1053.34,72,54
20/11/18,39013,508,paypal,94.34,9.1,14
20/11/18,45528,503,paypal,390.92,65.5,20
20/11/18,41163,508,paypal,375.29,41.6,10
20/11/18,32770,515,paypal,74.52,6.3,9
20/11/18,10207,504,credit,215.75,24,15
20/11/18,55557,501,credit,285.59,25.6,11
20/11/18,18046,504,paypal,249.26,21.1,8
20/11/18,40604,507,paypal,61.9,24.2,9
20/11/18,20047,507,paypal,47.4,4.1,10
20/11/18,18455,506,paypal,14.12,28.8,6
20/11/18,55796,509,paypal,102.72,24.5,12
20/11/18,40334,509,paypal,110.07,22.6,12
20/11/18,26194,503,paypal,150.7,25.3,18
20/11/18,38060,508,credit,189.97,71.8,20
20/11/18,21830,514,paypal,39,21.1,9
20/11/18,16088,513,paypal,39.78,15.8,9
20/11/18,55811,504,paypal,85.86,37.5,11
20/11/18,15544,515,credit,227.96,15.7,8
20/11/18,31640,503,paypal,365,17.7,38
20/11/18,40363,512,credit,316.04,54.8,6
20/11/18,12683,501,paypal,142.15,23.1,8
20/11/18,44679,515,paypal,5.53,33.7,6
20/11/18,43945,511,paypal,130.55,37.8,16
20/11/18,34733,507,credit,172.22,9.5,9
20/11/18,15226,502,credit,253.22,9.1,13
20/11/18,34203,514,paypal,1.94,15.9,6
20/11/18,33895,512,credit,79.67,9.2,11
20/11/18,37209,514,credit,52.03,46.6,8
20/11/18,33441,512,credit,223.66,26,20
20/11/18,26391,513,credit,180.89,25.3,8
20/11/18,24821,508,paypal,78.36,53.2,11
20/11/18,56368,509,credit,42,19.9,6
20/11/18,54932,506,paypal,117.89,27.8,16
20/11/18,49855,510,paypal,216.65,43.8,18
20/11/18,35355,514,paypal,118.38,9.6,11
20/11/18,15936,512,credit,237.62,53.8,17
20/11/18,26255,511,credit,133.1,13.5,8
20/11/18,20787,511,paypal,148.35,21.6,12
20/11/18,26129,507,paypal,56.82,18.6,10
20/11/18,57975,501,paypal,7.51,12.5,6
20/11/18,55454,515,paypal,50.31,3.6,7
20/11/18,19572,508,credit,180.92,20.3,19
20/11/18,19699,513,paypal,160.93,23,19
20/11/18,50565,507,credit,98.16,21.6,15
20/11/18,56744,505,paypal,574.41,17.7,37
20/11/18,23620,511,credit,21.52,41.2,7
20/11/18,27972,511,paypal,61.63,7.4,11
20/11/18,23134,501,credit,7.68,38.5,7
20/11/18,38188,515,paypal,97.23,19.8,8
20/11/18,51376,506,paypal,199.41,13.4,17
20/11/18,54777,514,paypal,113.22,20.9,11
20/11/18,14094,507,paypal,144.67,4,20
20/11/18,44566,507,paypal,309.37,18.2,12
20/11/18,55569,501,paypal,77.02,10.5,9
20/11/18,18577,509,paypal,168.03,9,19
20/11/18,40774,501,paypal,182.68,34.1,14
20/11/18,52110,515,paypal,165.71,9.5,10
20/11/18,34171,505,credit,29.17,16.5,7
20/11/18,18296,505,credit,31.85,15.8,9
20/11/18,52969,508,paypal,653.71,60.9,66
20/11/18,27073,503,paypal,99.53,8.1,13
20/11/18,26740,507,paypal,412.06,34.7,32
20/11/18,30584,513,paypal,438.54,37.5,13
20/11/18,19204,501,paypal,158.19,94,19
20/11/18,26533,512,credit,32.19,42.4,6
20/11/18,43254,509,credit,271.37,22.9,13
20/11/18,41850,514,paypal,91.11,50.8,14
20/11/18,11266,506,paypal,188.62,62,7
20/11/18,59218,510,paypal,82.73,7.5,10
20/11/18,45011,501,credit,107.84,14.6,9
20/11/18,16546,515,paypal,4.32,7.4,6
20/11/18,24465,514,paypal,148.78,22.4,20
20/11/18,29481,502,credit,405.23,6.9,11
20/11/18,54987,510,paypal,248.26,11.4,27
20/11/18,25658,510,paypal,236.6,27.1,8
20/11/18,33279,513,paypal,1001.88,11.9,18
20/11/18,59529,515,paypal,244.66,36.2,27
20/11/18,39623,512,paypal,74.46,7.9,11
20/11/18,30288,514,credit,228.82,28.9,21
20/11/18,20776,513,credit,395.75,13.9,27
20/11/18,59423,510,credit,262.3,44.1,31
20/11/18,35668,510,credit,10.89,16.9,7
20/11/18,47705,507,paypal,115.63,77.5,11
20/11/18,57927,509,credit,108.64,18,10
20/11/18,30121,510,credit,273.16,54.3,7
20/11/18,21848,504,credit,380.57,34.3,27
20/11/18,14546,503,credit,278.95,10.4,9
20/11/18,47618,507,credit,23.91,4.7,7
20/11/18,43345,512,credit,363.91,52.4,8
20/11/18,53988,506,paypal,138,13.3,6
20/11/18,44033,504,credit,59.74,17.4,7
20/11/18,27301,513,credit,183.22,15.1,23
20/11/18,13805,513,paypal,30.82,36.7,6
20/11/18,48774,509,credit,103.32,4.6,15
20/11/18,11597,501,credit,1214.05,132.3,43
20/11/18,21311,505,paypal,425.53,51.7,16
20/11/18,49554,508,paypal,371.19,43.5,22
20/11/18,17872,515,paypal,331.52,7.1,36
20/11/18,16894,510,credit,97.95,49.4,11
20/11/18,47467,510,paypal,155.27,12.5,19
20/11/18,34973,504,credit,80.05,14.7,13
20/11/18,42791,511,paypal,11.73,3.4,7
20/11/18,43899,507,paypal,22.44,6.1,7
20/11/18,41342,506,paypal,189.18,6.5,9
20/11/18,56908,514,paypal,20.78,22.1,7
20/11/18,20906,503,paypal,525.95,61.6,16
20/11/18,54494,503,paypal,9.6,6.3,6
20/11/18,33098,505,credit,110.35,14.7,13
20/11/18,49059,506,paypal,187.34,55,9
20/11/18,11163,508,credit,165.86,11.9,9
20/11/18,23517,509,credit,661.61,35.9,35
20/11/18,16754,502,credit,5.76,5.2,6
20/11/18,29217,513,paypal,193.13,27.8,16
20/11/18,19806,513,paypal,68.54,11.4,8
20/11/18,38060,514,paypal,712.56,50.2,27
20/11/18,59776,504,paypal,55.15,8.4,10
20/11/18,16971,508,paypal,48.69,33.4,7
20/11/18,56604,512,credit,84.83,14.9,9
20/11/18,12255,510,paypal,127.21,20.3,17
20/11/18,25969,504,paypal,211.83,40.4,10
20/11/18,50374,513,paypal,391.81,15,20
20/11/18,59375,513,credit,77.42,12.3,7
20/11/18,33490,507,credit,431.3,71.9,33
20/11/18,51995,513,credit,197.63,22.2,8
20/11/18,49812,502,paypal,434.42,10.6,19
20/11/18,57014,511,paypal,297.81,22.7,20
20/11/18,25391,509,paypal,767.06,77.6,57
20/11/18,53414,508,credit,16.52,13.4,6
20/11/18,54432,501,paypal,155.65,16.5,9
20/11/18,34204,513,paypal,106.24,5.2,6
20/11/18,20545,514,paypal,81.66,17.3,12
20/11/18,40072,501,paypal,176.39,15,15
20/11/18,19742,513,paypal,214.79,33.3,12
20/11/18,33672,506,paypal,39.41,16.8,10
20/11/18,10883,512,paypal,70,13.5,13
20/11/18,59682,511,paypal,52.09,77.5,6
20/11/18,17797,502,paypal,565.36,47.2,53
20/11/18,54928,501,credit,330.96,20.8,31
20/11/18,16422,509,credit,18.08,71,8
20/11/18,13901,503,credit,322.98,12.5,30
20/11/18,53297,511,paypal,271.39,23.6,25
20/11/18,21392,514,credit,215.51,23.7,25
20/11/18,34327,510,credit,381.83,87.7,6
20/11/18,49734,506,paypal,111.16,13.5,12
20/11/18,21500,507,paypal,21.83,4,7
20/11/18,11032,501,credit,128.09,15.8,13
20/11/18,41003,509,credit,245.15,60.5,28
20/11/18,41688,506,paypal,124.94,42.2,10
20/11/18,22074,502,credit,228.9,32.6,7
20/11/18,59244,514,paypal,55.59,11.2,9
20/11/18,37384,514,credit,31.11,14.9,6
20/11/18,21435,508,paypal,50.69,32.8,7
20/11/18,19652,512,credit,36.65,20.3,6
20/11/18,20039,514,paypal,68.34,4,11
20/11/18,51093,504,credit,306.2,22.3,23
20/11/18,58369,502,paypal,561.16,58.5,21
20/11/18,32533,515,paypal,179.97,34.1,18
20/11/18,28410,508,paypal,49.89,39.7,6
20/11/18,24997,501,paypal,174.12,50.2,19
20/11/18,31395,509,paypal,50.53,25.5,10
20/11/18,30737,508,credit,68.46,20.4,8
20/11/18,46141,510,credit,57.08,27.2,12
20/11/18,13321,507,credit,142.29,17.9,7
20/11/18,46756,511,paypal,179.56,31.8,21
20/11/18,35025,506,paypal,171.85,20.7,7
20/11/18,11776,505,paypal,320.22,11,9
20/11/18,26392,514,paypal,35.63,15.7,7
20/11/18,38557,513,credit,30.39,13.5,7
20/11/18,41214,509,credit,488.35,45.3,13
20/11/18,19107,515,paypal,359.94,16.2,6
20/11/18,39542,513,credit,153.31,16.3,21
20/11/18,54647,503,paypal,33.84,11.2,8
20/11/18,42462,511,paypal,52.85,13.3,9
20/11/18,50605,515,paypal,516.87,72.8,48
20/11/18,21596,513,paypal,73.26,30.7,7
20/11/18,11919,512,credit,199.42,16,21
20/11/18,44736,513,paypal,267.23,44.9,16
20/11/18,51214,504,paypal,6.04,68.6,6
20/11/18,44433,506,paypal,272.36,33.3,28
20/11/18,13491,506,paypal,52.89,16,8
20/11/18,22694,513,credit,70.17,56.3,9
20/11/18,23487,507,credit,51.29,16.5,9
20/11/18,56042,503,paypal,28.29,7,7
20/11/18,34712,503,paypal,562.11,3.3,36
20/11/18,52771,512,paypal,42.39,10.1,9
20/11/18,51127,511,paypal,495.13,51.7,10
20/11/18,15715,502,paypal,341.42,39.8,10
20/11/18,39958,504,paypal,57.26,17.2,8
20/11/18,40834,507,credit,74.12,6.9,10
20/11/18,24868,512,credit,185.42,23.4,7
20/11/18,30499,507,paypal,298.62,42.9,27
20/11/18,17954,511,paypal,73.95,38.5,13
20/11/18,38440,502,credit,225.53,12.4,16
20/11/18,44991,505,paypal,67.64,15.5,7
20/11/18,12808,508,credit,87.43,6.5,12
20/11/18,21160,507,credit,8.93,10.9,6
20/11/18,15219,515,credit,302.26,36.2,33
20/11/18,34152,515,paypal,221.94,20.7,10
20/11/18,32393,514,paypal,286.72,43,33
20/11/18,15473,505,credit,666.51,71.4,17
20/11/18,41516,504,paypal,161.87,28.8,20
20/11/18,34990,506,paypal,123.04,27.7,15
20/11/18,39623,513,paypal,30.78,13,7
20/11/18,15438,506,credit,41.01,51.9,6
20/11/18,55295,501,credit,721.81,37.9,10
20/11/18,29470,509,credit,13.3,24.9,7
20/11/18,51532,505,paypal,37.36,49.7,7
20/11/18,15093,503,paypal,154,16,17
20/11/18,31944,509,credit,18.91,27.7,7
20/11/18,46568,507,paypal,380.99,75.7,25
20/11/18,44356,513,paypal,3.35,2.9,6
20/11/18,44848,515,credit,204.12,23,21
20/11/18,21237,505,credit,49.78,28.8,9
20/11/18,21678,508,credit,13.57,8,7
20/11/18,40940,503,credit,180.09,57.6,16
20/11/18,50786,513,credit,42.78,22.1,7
20/11/18,13626,502,credit,1.57,12.6,6
20/11/18,57875,514,paypal,212.23,32.7,23
20/11/18,28158,509,credit,265.03,13.7,9
20/11/18,57407,513,paypal,465.21,35.3,20
20/11/18,17806,515,paypal,24.95,25.9,7
20/11/18,33588,502,credit,38.1,12.8,9
20/11/18,10412,504,credit,500.27,32.5,7
20/11/18,42771,506,credit,241.22,28.1,8
20/11/18,55390,503,credit,26.18,3.2,7
20/11/18,33698,513,paypal,55,23.2,7
20/11/18,29259,511,credit,5.79,18.5,6
20/11/18,13267,509,paypal,59.35,23.9,11
20/11/18,23917,510,credit,19.2,56.1,7
20/11/18,31060,501,paypal,445.76,41,29
20/11/18,54171,510,credit,15.6,9.2,7
20/11/18,43512,512,paypal,193.49,19.8,9
20/11/18,27394,515,credit,119.94,10.2,11
20/11/18,14240,503,paypal,4.14,3.4,6
20/11/18,23854,501,paypal,50.93,17.8,9
20/11/18,10753,515,paypal,172.71,30.4,16
20/11/18,12496,508,paypal,194.72,35.7,21
20/11/18,53561,502,credit,107.63,13.2,12
20/11/18,18190,513,paypal,162.81,30.9,18
20/11/18,21930,504,paypal,2.76,26.2,6
20/11/18,48931,513,credit,81.27,27.9,10
20/11/18,32604,506,paypal,95.26,19.9,9
20/11/18,25082,504,paypal,487.54,58.2,27
20/11/18,32190,515,paypal,551.95,58.2,45
20/11/18,15014,514,credit,22.46,10.5,6
20/11/18,33996,507,credit,708.83,25.2,19
20/11/18,59545,513,credit,298.69,29.9,20
20/11/18,23517,503,credit,103.83,24.6,11
20/11/18,23280,513,paypal,295.11,20.1,26
20/11/18,47759,506,paypal,56.73,13.3,11
20/11/18,27330,509,credit,99.88,33.8,9
20/11/18,43602,503,paypal,180.18,10.4,10
20/11/18,22559,513,credit,56.06,6.6,8
20/11/18,59998,502,paypal,95.76,31.1,9
20/11/18,42180,515,credit,31.95,10.6,9
20/11/18,40358,502,paypal,63.91,24.2,8
20/11/18,52372,502,paypal,37.29,20,7
20/11/18,49570,504,paypal,329.27,43.7,8
20/11/18,21874,513,paypal,85.07,17.9,10
20/11/18,23205,510,credit,23.46,13.8,7
20/11/18,32675,507,credit,191.72,20.4,17
20/11/18,34434,502,credit,197.8,11,15
20/11/18,52137,513,paypal,23.2,19.1,8
20/11/18,49319,511,credit,95.35,4.4,14
20/11/18,57559,504,credit,20.96,17.6,7
20/11/18,39486,506,paypal,26.73,8.3,7
20/11/18,15041,501,paypal,220.86,24.7,28
20/11/18,48032,507,paypal,253.63,24.9,22
20/11/18,37610,512,credit,41.31,5.4,9
20/11/18,15787,505,credit,321.89,37.6,29
20/11/18,12694,511,credit,257.73,80.1,24
20/11/18,21490,505,credit,82.17,14.2,6
20/11/18,20488,511,paypal,272.16,45,15
20/11/18,24055,505,paypal,255.79,29.7,12
20/11/18,17207,511,credit,29.5,12,7
20/11/18,26971,511,credit,268.28,42.6,6
20/11/18,53404,511,credit,495.9,49.9,38
20/11/18,41454,514,credit,67.27,9.5,6
20/11/18,43804,514,paypal,187.16,24.7,23
20/11/18,47523,505,paypal,348.39,33.3,8
20/11/18,13777,509,credit,38.71,33.6,8
20/11/18,24202,502,paypal,357.51,11.7,19
20/11/18,40152,511,paypal,29.9,19.1,7
20/11/18,23775,508,credit,93.87,10.8,10
20/11/18,18451,508,paypal,129.92,16.7,8
20/11/18,16101,508,paypal,80.59,6.4,10
20/11/18,26223,509,credit,116.45,20.7,9
20/11/18,29119,504,credit,39.51,8.8,9
20/11/18,57194,509,credit,181.43,30.8,7
20/11/18,46125,511,credit,198.74,38.9,8
20/11/18,41064,511,paypal,336.61,33.4,33
20/11/18,40209,513,paypal,2.64,17.7,6
20/11/18,19229,507,paypal,442.92,22.1,17
20/11/18,33005,503,paypal,6.69,20.2,6
20/11/18,46382,505,credit,32,22.7,8
20/11/18,29039,501,credit,186.75,15.3,13
20/11/18,40331,504,credit,328.34,76,13
20/11/18,46163,511,credit,120.06,28.7,11
20/11/18,33148,513,paypal,143.97,6.3,14
20/11/18,35664,514,paypal,348.94,52.4,17
20/11/18,14874,507,paypal,25.21,29.1,7
20/11/18,57758,510,paypal,249.6,24.8,15
20/11/18,57059,512,credit,61.22,19,12
20/11/18,13196,501,credit,180.86,13,15
20/11/18,15251,505,paypal,194.82,23.8,9
20/11/18,40163,511,credit,232.77,39.1,25
20/11/18,55095,514,credit,436.16,52.3,30
20/11/18,40197,506,credit,474.96,40,20
20/11/18,29585,508,paypal,304.21,26.7,24
20/11/18,36563,501,paypal,28.19,11.4,6
20/11/18,33306,511,paypal,123.28,8.9,16
20/11/18,40465,513,paypal,580.13,74.5,11
20/11/18,57199,510,credit,109.62,12.8,11
20/11/18,10302,515,paypal,91.08,27.4,13
20/11/18,59013,507,credit,51.19,8.3,7
20/11/18,46132,503,paypal,623.02,41.1,32
20/11/18,56043,511,paypal,75,8.9,12
20/11/18,54151,512,credit,276.83,9.4,22
